Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-death-date.json	3232	0	0	3	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	136	88	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-dhb.json	3533	2	0	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	83	92	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-domicile-code.json	2023	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	109	84	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-edi-address.json	2243	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	84	72	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-educational-qualification.json	7092	1	0	4	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	252	116	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-established.json	1437	0	0	1	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	88	83	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-funded-programme.json	4405	1	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	156	98	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-gender-original-text.json	1526	0	0	1	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	95	93	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-information-source.json	2113	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	86	77	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-long-term-condition.json	2597	0	0	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	77	84	0	0	0	1	0	0
